"","variable","est","se","t","p","study","dv","level","stat","model","formula","data","lb","ub","print"
"1","7. Centrist News",-0.125443301522003,0.0785529319324702,-1.59692704570012,0.111338257882792,1,"Negative Traits","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_nt_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 1",-0.30818474772278,0.0572981446787743,"(B=-0.125; SE=0.079; CI95%=[-0.308,0.057])"
"2","8. Liberal News",-0.0288298130105345,0.11604471521535,-0.248437104240667,0.803966774538908,1,"Negative Traits","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_nt_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 1",-0.29879018954544,0.241130563524371,"(B=-0.029; SE=0.116; CI95%=[-0.299,0.241])"
"3","6. Conservative News",0.121255743440578,0.146212111560174,0.829313947707233,0.407588354322568,1,"Negative Traits","News Domains","Mean","Model 1
Partisan vs. Non-Partisan News","ap_nt_r ~ domain_center_mean_ln + domain_left_mean_ln + domain_right_mean_ln","Study 1",-0.218884491446455,0.461395978327612,"(B=0.121; SE=0.146; CI95%=[-0.219,0.461])"
"4","5. Congenial News",-0.048601503786311,0.101247908339325,-0.480024768743136,0.631559581624892,1,"Negative Traits","News Domains","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_nt_r ~ domain_congenial_mean_ln + domain_cross_mean_ln","Study 1",-0.284139360102583,0.186936352529961,"(B=-0.049; SE=0.101; CI95%=[-0.284,0.187])"
"5","4. Cross-Cutting News",-0.01286697455178,0.0798951134594766,-0.161048329423879,0.872163733330076,1,"Negative Traits","News Domains","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_nt_r ~ domain_congenial_mean_ln + domain_cross_mean_ln","Study 1",-0.198730801894485,0.172996852790925,"(B=-0.013; SE=0.08; CI95%=[-0.199,0.173])"
"6","0. Intercept",55.7276549808591,1.65450820741477,33.6823079698925,1.30302780928565e-103,1,"Negative Traits","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",51.8786933299566,59.5766166317616,"(B=55.728; SE=1.655; CI95%=[51.879,59.577])"
"7","5. Congenial News",0.21463916214615,0.180672464558661,1.18800151794277,0.235781965424848,1,"Negative Traits","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",-0.205667841677609,0.63494616596991,"(B=0.215; SE=0.181; CI95%=[-0.206,0.635])"
"8","4. Cross-Cutting News",-0.261600875999472,0.14691394587895,-1.78064018656893,0.0759933470658018,1,"Negative Traits","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",-0.603373821661919,0.0801720696629757,"(B=-0.262; SE=0.147; CI95%=[-0.603,0.08])"
"9","3. Partisanship Strength",1.91704189642369,0.81912581238805,2.3403509783617,0.019925267638993,1,"Negative Traits","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",0.0114703042027746,3.82261348864461,"(B=1.917; SE=0.819; CI95%=[0.011,3.823])"
"10","2. Congenial × Partisan",-0.152516517201402,0.0912724476820011,-1.67100281711277,0.0957744550668903,1,"Negative Traits","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",-0.364847981824929,0.0598149474221254,"(B=-0.153; SE=0.091; CI95%=[-0.365,0.06])"
"11","1. Cross-Cutting × Partisan",0.126041813227471,0.0787463686491124,1.6006047693336,0.110527603241789,1,"Negative Traits","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",-0.0571496340678276,0.30923326052277,"(B=0.126; SE=0.079; CI95%=[-0.057,0.309])"
"12","0. Wave",1.15541539119037,0.793128276171549,1.45678249774121,0.146232822678583,1,"Negative Traits","News Domains","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ domain_congenial_mean_ln + domain_cross_mean_ln | partisan | domain_congenial_mean_ln*partisan + domain_cross_mean_ln*partisan","Study 1",-0.689676887922987,3.00050767030373,"(B=1.155; SE=0.793; CI95%=[-0.69,3.001])"
"13","7. Centrist News",-0.10823131187019,0.0835966555460101,-1.29468471152679,0.196427924785366,1,"Negative Traits","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_nt_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 1",-0.302706213776575,0.0862435900361947,"(B=-0.108; SE=0.084; CI95%=[-0.303,0.086])"
"14","8. Liberal News",-0.0482976741842585,0.125153474516858,-0.385907577641824,0.699839553406144,1,"Negative Traits","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_nt_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 1",-0.339448193555376,0.242852845186859,"(B=-0.048; SE=0.125; CI95%=[-0.339,0.243])"
"15","6. Conservative News",0.0147152002195344,0.144468246110575,0.101857678872016,0.91893791550696,1,"Negative Traits","Political News","Mean","Model 1
Partisan vs. Non-Partisan News","ap_nt_r ~ page_center_mean_ln + page_left_mean_ln + page_right_mean_ln","Study 1",-0.321368196986211,0.35079859742528,"(B=0.015; SE=0.144; CI95%=[-0.321,0.351])"
"16","5. Congenial News",-0.138230909932173,0.115287265015408,-1.19901283037376,0.231469157142266,1,"Negative Traits","Political News","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_nt_r ~ page_congenial_mean_ln + page_cross_mean_ln","Study 1",-0.40642919380475,0.129967373940403,"(B=-0.138; SE=0.115; CI95%=[-0.406,0.13])"
"17","4. Cross-Cutting News",-0.0038677267861239,0.0698446575399461,-0.0553761292896573,0.95587567338052,1,"Negative Traits","Political News","Mean","Model 2
Congenial vs. Cross-Cutting News","ap_nt_r ~ page_congenial_mean_ln + page_cross_mean_ln","Study 1",-0.166350697367288,0.15861524379504,"(B=-0.004; SE=0.07; CI95%=[-0.166,0.159])"
"18","0. Intercept",55.74070551913,1.66733925462555,33.4309321660206,7.62510850086395e-103,1,"Negative Traits","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",51.861894388827,59.619516649433,"(B=55.741; SE=1.667; CI95%=[51.862,59.62])"
"19","5. Congenial News",0.183817472550015,0.194235193749474,0.946365429465391,0.344731539679452,1,"Negative Traits","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",-0.268041157492986,0.635676102593015,"(B=0.184; SE=0.194; CI95%=[-0.268,0.636])"
"20","4. Cross-Cutting News",-0.234907898977835,0.129486475717785,-1.81415006992556,0.0706635727639005,1,"Negative Traits","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",-0.536138486480945,0.0663226885252756,"(B=-0.235; SE=0.129; CI95%=[-0.536,0.066])"
"21","3. Partisanship Strength",1.93409103349618,0.820509891512174,2.35718186155162,0.0190608205162632,1,"Negative Traits","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",0.0252995917473555,3.84288247524501,"(B=1.934; SE=0.821; CI95%=[0.025,3.843])"
"22","2. Congenial × Partisan",-0.197309082930536,0.103291232658032,-1.91022101153319,0.0570677207134275,1,"Negative Traits","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",-0.437600422431605,0.042982256570534,"(B=-0.197; SE=0.103; CI95%=[-0.438,0.043])"
"23","1. Cross-Cutting × Partisan",0.113920079948582,0.0613544860298357,1.85675224943102,0.0643364136898122,1,"Negative Traits","Political News","Mean","Model 3
Strong vs. Weak Partisans","ap_nt_r ~ page_congenial_mean_ln + page_cross_mean_ln | partisan | page_congenial_mean_ln*partisan + page_cross_mean_ln*partisan","Study 1",-0.0288117981897952,0.256651958086958,"(B=0.114; SE=0.061; CI95%=[-0.029,0.257])"
